Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length_duplicated_0,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53770,52,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19230.76923,19230.76923,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,343,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
1110,92,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,86956.52174,21739.13043,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,10869.56522,10869.56522,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
443,5229719,9,11,2294,9139,1749,0,254.8888888889,573.635216066,2571,0,830.8181818182,861.5894402999,2186.1595240586,3.8242972519,275248.368421053,1133908.14157052,4956803,3,272913,34114.125,27891.5227082019,67644,215,5178058,517805.8,1574870.50790158,4999415,3,0,0,0,0,296,360,1.7209337634,2.1033634886,0,2571,544.4285714286,774.8849315497,600446.657142857,0,0,0,1,0,0,0,0,1,571.65,254.8888888889,830.8181818182,296,0,0,0,0,0,0,9,2294,11,9139,29200,20,3,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,98833736,7,6,338,11595,338,0,48.28571429,127.7519919,4344,0,1932.5,1754.831473,120.7381253,0.131534034,8236144.667,28500000.0,98800000,1,98800000,16500000.0,40300000.0,98800000,1,12495,2499.0,5341.778402,12054,47,0,0,0,0,232,200,0.070826018,0.060708016,0,4344,852.3571429,1460.968362,2134428.555,0,0,0,0,1,0,0,0,0,917.9230769,48.28571429,1932.5,232,0,0,0,0,0,0,7,338,6,11595,251,235,1,32,1145.0,0.0,1145,1145,98800000.0,0.0,98800000,98800000,1
32910,36,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27777.77778,27777.77778,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6495,38619,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,102528722,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1973.024455,113.6949703,0.136547103,7886824.769,27300000.0,98700000,12,102000000,14500000.0,37100000.0,98700000,43,812547,162509.4,361542.3772,809252,12,0,0,0,0,172,132,0.078026916,0.058520187,0,4380,777.5333333,1531.267956,2344781.552,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,2974942.0,0.0,2974942,2974942,98700000.0,0.0,98700000,98700000,1
58974,188,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,95744.6808510638,15957.4468085106,94.0,128.693434176,185,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,20,10638.2978723404,5319.1489361702,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,32,32850,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
49176,62,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,129032.2581,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16129.03226,16129.03226,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,1
53,256,2,2,84,162,42,42,42.0,0.0,81,81,81.0,0.0,960937.5,15625.0,85.33333333,108.6937594,208,1,47,47.0,0.0,47,47,1,1.0,0.0,1,1,0,0,0,0,64,64,7812.5,7812.5,42,81,57.6,21.36117974,456.3,0,0,0,0,0,0,0,0,1,72.0,42.0,81.0,64,0,0,0,0,0,0,2,84,2,162,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5426674,7,3,599,160,517,0,85.57142857,191.3085267,160,0,53.33333333,92.37604307,139.8646759,1.842749353,602963.7778,1766401.587,5313088,3,5426674,904445.6667,2190123.347,5374996,3,98409,49204.5,25144.01003,66984,31425,0,0,0,0,232,104,1.289924547,0.552824806,0,517,69.0,156.2305988,24408.0,0,0,0,1,0,0,0,0,0,75.9,85.57142857,53.33333333,232,0,0,0,0,0,0,7,599,3,160,29200,59,3,32,113583.0,0.0,113583,113583,5313088.0,0.0,5313088,5313088,0
