Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length_duplicated_0,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,day,Label,label_name
53,48904,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,3435.301816,81.79290038,16301.33333,28229.54141,48898,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,40.89645019,40.89645019,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,64,0,0,0,0,0,0,2,68,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Friday,0,BENIGN
21,8626941,9,15,111,188,25,0,12.33333333,10.12422837,34,0,12.53333333,14.54975045,34.65886691,2.781982629,375084.3913,956499.1587,2939507,3,5832538,729067.25,1310453.135,2982698,241,8626905,616207.5,1178258.784,2939507,3,0,0,0,0,296,488,1.043243486,1.738739143,0,34,11.96,12.80130202,163.8733333,0,0,0,1,0,0,0,0,1,12.45833333,12.33333333,12.53333333,296,0,0,0,0,0,0,9,111,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Tuesday,1,FTP-Patator
53,31121,2,2,90,170,45,45,45.0,0.0,85,85,85.0,0.0,8354.487324,128.5305742,10373.66667,17960.78952,31113,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,40,64.26528711,64.26528711,45,85,61.0,21.9089023,480.0,0,0,0,0,0,0,0,0,1,76.25,45.0,85.0,64,0,0,0,0,0,0,2,90,2,170,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Tuesday,0,BENIGN
80,83734164,6,7,431,11595,413,0,71.83333333,167.1626952,4344,0,1656.428571,1947.638216,143.6211867,0.155253237,6977847.0,24100000.0,83600000,46,83600000,16700000.0,37400000.0,83600000,962,83700000,14000000.0,34100000.0,83600000,62,0,0,0,0,164,232,0.07165534,0.083597897,0,4344,859.4285714,1563.923209,2445855.802,1,0,0,0,0,0,0,0,1,925.5384615,71.83333333,1656.428571,164,0,0,0,0,0,0,6,431,7,11595,0,235,3,20,12962.0,0.0,12962,12962,83600000.0,0.0,83600000,83600000,Wednesday,1,DoS Hulk
53,231,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,1082251.082,17316.01732,77.0,93.20944158,181,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,40,64,8658.008658,8658.008658,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71.0,34.0,91.0,40,0,0,0,0,0,0,2,68,2,182,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Thursday,0,BENIGN
80,25507,3,6,321,11595,321,0,107.0,185.3294364,5792,0,1932.5,2181.008184,467165.876,352.8443172,3188.375,5519.260948,14080,44,10988,5494.0,6339.9194,9977,1011,25286,5057.2,6884.640564,14080,44,0,0,0,0,104,200,117.6147724,235.2295448,0,5792,1191.6,1888.422516,3566139.6,0,0,0,1,0,0,0,0,2,1324.0,107.0,1932.5,104,0,0,0,0,0,0,3,321,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Wednesday,1,DoS Hulk
443,8285296,8,8,2830,4151,2238,0,353.75,781.716563541,1460,2,518.875,683.9217660982,842.5770183709,1.9311319716,552353.066666667,2058144.07049505,7991539,1,8285296,1183613.71428571,3002444.12673762,7991539,406,203233,29033.2857142857,31930.0960365728,85482,1,0,0,0,0,172,164,0.9655659858,0.9655659858,0,2238,410.6470588235,700.0019590309,490002.742647059,0,0,0,1,0,0,0,0,1,436.3125,353.75,518.875,172,0,0,0,0,0,0,8,2830,8,4151,8192,35040,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Monday,0,BENIGN
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Wednesday,1,DoS Hulk
53,23821824,2,2,101,569,52,49,50.5,2.121320344,427,142,284.5,201.5254326,28.12547016,0.167913255,7940608.0,13600000.0,23600000,50146,23800000,23800000.0,0.0,23800000,23800000,23700000,23700000.0,0.0,23700000,23700000,0,0,0,0,52,52,0.083956627,0.083956627,49,427,143.8,163.2534839,26651.7,0,0,0,0,0,0,0,0,1,179.75,50.5,284.5,52,0,0,0,0,0,0,2,101,2,569,-1,-1,1,20,167374.0,0.0,167374,167374,23600000.0,0.0,23600000,23600000,Wednesday,0,BENIGN
80,5679324,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.704309175,1893108.0,3257588.902,5654621,87,5679324,2839662.0,3980953.195,5654621,24703,0,0.0,0.0,0,0,0,0,0,0,72,32,0.528231881,0.176077294,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,72,0,0,0,0,0,0,3,0,1,0,8192,14600,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Tuesday,0,BENIGN
53,24219,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,7762.500516,165.1595854,8073.0,13937.83183,24167,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,40,40,82.57979272,82.57979272,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,40,0,0,0,0,0,0,2,78,2,110,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Thursday,0,BENIGN
443,5585669,6,4,611,168,517,0,101.8333333,204.3050823,156,0,42.0,76.05261337,139.4640463,1.790295845,620629.8889,1810069.954,5447094,49,5585669,1117133.8,2458665.493,5515217,49,107324,35774.66667,37141.90276,74765,809,0,0,0,0,132,92,1.074177507,0.716118338,0,517,70.81818182,154.9721383,24016.36364,0,0,0,1,0,0,0,0,0,77.9,101.8333333,42.0,132,0,0,0,0,0,0,6,611,4,168,8192,119,5,20,138526.0,0.0,138526,138526,5447094.0,0.0,5447094,5447094,Thursday,0,BENIGN
53,50034701,2,2,118,166,66,52,59.0,9.899494937,98,68,83.0,21.21320344,5.6760607,0.079944517,16700000.0,28800000.0,50000000,30689,50000000,50000000.0,0.0,50000000,50000000,50000000,50000000.0,0.0,50000000,50000000,0,0,0,0,52,72,0.039972258,0.039972258,52,98,67.2,18.79361594,353.2,0,0,0,0,0,0,0,0,1,84.0,59.0,83.0,52,0,0,0,0,0,0,2,118,2,166,-1,-1,1,20,30702.0,0.0,30702,30702,50000000.0,0.0,50000000,50000000,Wednesday,0,BENIGN
443,29746031,1,3,6,37,6,6,6.0,0.0,31,0,12.3333333333,16.4418166069,1.4455710074,0.1344717216,9915343.66666667,17128954.5333202,29694134,4,0,0.0,0.0,0,0,29694138,14847069.0,20996920.6844349,29694134,4,0,0,0,0,20,72,0.0336179304,0.1008537912,0,31,9.8,12.1326007105,147.2,0,0,0,0,1,0,0,0,3,12.25,6.0,12.3333333333,20,0,0,0,0,0,0,1,6,3,37,255,85,0,20,51893.0,0.0,51893,51893,29694134.0,0.0,29694134,29694134,Monday,0,BENIGN
1113,49,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,Thursday,0,BENIGN
80,100666916,10,6,370,11595,364,0,37.0,114.9115602,5792,0,1932.5,2179.547086,118.8573215,0.158940004,6711127.733,25700000.0,99500000,0,101000000,11200000.0,33100000.0,99500000,0,146691,29338.2,58413.59433,133355,71,0,0,0,0,324,200,0.099337502,0.059602501,0,5792,703.8235294,1538.480347,2366921.779,0,0,0,0,1,0,0,0,0,747.8125,37.0,1932.5,324,0,0,0,0,0,0,10,370,6,11595,251,235,2,20,2006.0,0.0,2006,2006,99500000.0,0.0,99500000,99500000,Wednesday,1,DoS Hulk
53,62038,4,2,176,214,44,44,44.0,0.0,107,107,107.0,0.0,6286.469583,96.71491666,12407.6,27573.46907,61732,3,61739,20579.66667,35638.9661,61732,3,3,3.0,0.0,3,3,0,0,0,0,128,64,64.47661111,32.23830555,44,107,62.0,30.7408523,945.0,0,0,0,0,0,0,0,0,0,72.33333333,44.0,107.0,128,0,0,0,0,0,0,4,176,2,214,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,Tuesday,0,BENIGN
80,20848,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,557703.3768,431.696086,2606.0,5886.069292,17027,15,18029,9014.5,11369.56993,17054,975,20821,4164.2,7873.915779,18131,15,0,0,0,0,72,132,143.8986953,287.7973906,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Friday,1,DDoS
443,31307641,15,12,1921,4179,772,0,128.0666667,267.0833114,1867,0,348.25,629.6335334,194.8406141,0.862409276,1204140.038,3233631.715,10100000,1,21400000,1531664.786,3620267.614,10100000,1,31300000,2842890.818,4601388.755,10100000,3,0,0,0,0,320,252,0.479116264,0.383293011,0,1867,217.8571429,460.7528231,212293.164,0,0,0,1,0,0,0,0,0,225.9259259,128.0666667,348.25,320,0,0,0,0,0,0,15,1921,12,4179,29200,66,14,20,459813.0,734495.204,1307935,35654,9976066.333,130530.5212,10100000,9828481,Friday,0,BENIGN
5287,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,40921,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Friday,0,BENIGN
80,113112368,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.017681532,113000000.0,0.0,113000000,113000000,113000000,113000000.0,0.0,113000000,113000000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.017681532,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,113000000.0,0.0,113000000,113000000,Wednesday,1,DoS GoldenEye
80,6005778,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,1.998075853,0.666025284,2001926.0,3446778.345,5981899,17,6005778,3002889.0,4212956.344,5981899,23879,0,0.0,0.0,0,0,0,0,0,0,72,32,0.499518963,0.166506321,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Wednesday,0,BENIGN
80,83943954,5,8,363,11595,351,0,72.6,155.6592432,2896,0,1449.375,1546.511368,142.452189,0.154865233,6995329.5,24200000.0,83800000,3,83800000,21000000.0,41900000.0,83800000,3,83900000,12000000.0,31700000.0,83800000,30,0,0,0,0,144,264,0.059563551,0.095301682,0,2896,854.5714286,1342.97607,1803584.725,1,0,0,0,0,0,0,0,1,920.3076923,72.6,1449.375,144,0,0,0,0,0,0,5,363,8,11595,0,235,2,20,11150.0,0.0,11150,11150,83800000.0,0.0,83800000,83800000,Wednesday,1,DoS Hulk
