Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,26408,1,1,30,119.0,30,30,30.0,0.0,119,119,119.0,0.0,5642.229627,75.73462587,26408.0,0.0,26408.0,26408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,37.86731294,37.86731294,30,119,59.66666667,51.38417396,2640.333333,0,0,0,0,0,0,0,0,1,89.5,30.0,119.0,0,0,0,0,0,0,1,30,1,119,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6,877,3,0,77,0.0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,87799.31585,3420.752566,438.5,589.0199487,855.0,22.0,877.0,438.5,589.0199487,855.0,22.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,3420.752566,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,254,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,6,79671835,7,74,249,104898.0,249,0,35.57142857,94.11315378,1460,0,1417.540541,239.2647522,1319.751202,1.016670446,995897.9375,8898975.194,79600000.0,0.0,79700000.0,13300000.0,32500000.0,79600000.0,73.0,53252.0,729.4794521,4264.235483,26385.0,0.0,0,0,0,0,152,1492,0.087860409,0.928810037,0,1460,1282.280488,472.846627,223583.9327,0,0,0,1,0,0,0,0,10,1298.111111,35.57142857,1417.540541,0,0,0,0,0,0,7,249,74,104898,8192,288,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8080,6,11400,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,39912.2807,614.0350877,1900.0,4207.529917,10479.0,23.0,614.0,307.0,360.6244584,562.0,52.0,10861.0,3620.333333,5941.724104,10479.0,39.0,0,0,0,0,72,92,263.1578947,350.877193,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,18890707,10,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.529360812,2098967.444,4487708.077,12900000.0,61.0,18900000.0,2098967.444,4487708.077,12900000.0,61.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.529360812,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,103420.0,0.0,103420.0,103420.0,9393643.5,4927522.395,12900000.0,5909359.0,0
22,6,368014,24,22,1928,2665.0,640,0,80.3333333333,133.9586784655,976,0,121.1363636364,258.6415602914,12480.5034591075,124.9952447461,8178.0888888889,21722.9355581755,97927.0,5.0,367960.0,15998.2608695652,28706.2948532474,97927.0,207.0,368007.0,17524.1428571429,35372.0026394968,101578.0,13.0,0,0,0,0,776,712,65.2149103023,59.7803344438,0,976,97.7234042553,200.3478173542,40139.2479185939,0,0,0,1,0,0,0,0,0,99.847826087,80.3333333333,121.1363636364,0,0,0,0,0,0,24,1928,22,2665,26883,230,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,17,115493,2,2,68,492.0,34,34,34.0,0.0,246,246,246.0,0.0,4848.7787138615,34.6341336704,38497.6666666667,33342.2233411831,58203.0,1.0,58203.0,58203.0,0.0,58203.0,58203.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,17.3170668352,17.3170668352,34,246,118.8,116.1171821911,13483.2,0,0,0,0,0,0,0,0,1,148.5,34.0,246.0,0,0,0,0,0,0,2,68,2,492,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,6,2,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51840,6,26,2,1,31,0.0,31,0,15.5,21.92031022,0,0,0.0,0.0,1192307.692,115384.6154,13.0,1.414213562,14.0,12.0,26.0,26.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,76923.07692,38461.53846,0,31,15.5,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,20.66666667,15.5,0.0,0,0,0,0,0,0,2,31,1,0,946,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6,95231235,9,7,1906,4016.0,797,0,211.7777778,334.644131,1460,0,573.7142857,654.6507248,62.18547938,0.168012102,6348749.0,24500000.0,95000000.0,1.0,95200000.0,11900000.0,33600000.0,95000000.0,309.0,132464.0,22077.33333,17495.61039,40312.0,1.0,0,0,0,0,192,152,0.094506808,0.073505295,0,1460,348.3529412,506.9540094,257002.3676,0,0,0,1,0,0,0,0,0,370.125,211.7777778,573.7142857,0,0,0,0,0,0,9,1906,7,4016,8192,1026,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3389,6,2185467,8,7,1128,1581.0,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1239.552004,6.863521618,156104.7857,247895.9098,953153.0,2.0,2185467.0,312209.5714,399087.2319,1201796.0,2.0,1993381.0,332230.1667,304855.2707,953153.0,191415.0,0,0,0,0,172,152,3.660544863,3.202976755,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6,60108693,8,6,1207,3977.0,821,0,150.875,284.523379657,1460,0,662.8333333333,669.9819151788,86.2437651073,0.2329114027,4623745.61538462,16623952.3380343,59951571.0,1.0,60108693.0,8586956.14285714,22649683.5854638,59951571.0,324.0,74255.0,14851.0,13524.2737512962,24956.0,1.0,0,0,0,0,172,132,0.1330922301,0.0998191726,0,1460,345.6,523.5631767036,274118.4,0,0,0,1,0,0,0,0,0,370.2857142857,150.875,662.8333333333,0,0,0,0,0,0,8,1207,6,3977,8192,509,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51968,6,155,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12903.22581,155.0,0.0,155.0,155.0,155.0,155.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,12903.22581,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,257,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
137,17,1528109,3,0,150,0.0,50,50,50.0,0.0,0,0,0.0,0.0,98.1605369774,1.9632107395,764054.5,2218.1939725822,765623.0,762486.0,1528109.0,764054.5,2218.1939725822,765623.0,762486.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,1.9632107395,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,66.6666666667,50.0,0.0,0,0,0,0,0,0,3,150,0,0,-1,-1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6,3047,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,656.3833278635,3047.0,0.0,3047.0,3047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,328.1916639317,328.1916639317,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,290,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8080,6,9372,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,48548.86897,746.9056765,1562.0,3474.468362,8648.0,15.0,445.0,222.5,239.7091988,392.0,53.0,9001.0,3000.333333,4893.688418,8648.0,15.0,0,0,0,0,72,92,320.1024328,426.8032437,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,17,1943,1,1,37,157.0,37,37,37.0,0.0,157,157,157.0,0.0,99845.59959,1029.336078,1943.0,0.0,1943.0,1943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,514.6680391,514.6680391,37,157,77.0,69.2820323,4800.0,0,0,0,0,0,0,0,0,1,115.5,37.0,157.0,0,0,0,0,0,0,1,37,1,157,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
