timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received,packets,duration_seconds,failed_logins,unique_ports,label
2026-05-01T09:00:00,192.168.1.10,10.0.0.5,TCP,420,800,12,5,0,2,benign
2026-05-01T09:03:00,192.168.1.11,10.0.0.8,TCP,390,760,10,4,0,2,benign
2026-05-01T09:06:00,192.168.1.12,10.0.0.9,UDP,510,650,13,6,0,3,benign
2026-05-01T09:09:00,192.168.1.13,10.0.0.10,TCP,445,790,11,5,1,2,benign
2026-05-01T09:12:00,192.168.1.14,10.0.0.11,TCP,470,720,12,5,0,2,benign
2026-05-01T09:15:00,192.168.1.15,10.0.0.12,UDP,530,700,14,6,0,3,benign
2026-05-01T09:18:00,192.168.1.16,10.0.0.13,TCP,410,780,10,4,0,2,benign
2026-05-01T09:21:00,192.168.1.17,10.0.0.14,TCP,455,745,11,5,0,2,benign
2026-05-01T09:24:00,192.168.1.18,10.0.0.15,UDP,495,690,13,6,0,3,benign
2026-05-01T09:27:00,192.168.1.19,10.0.0.16,TCP,380,770,10,4,0,2,benign
2026-05-01T09:30:00,192.168.1.20,10.0.0.17,TCP,405,810,11,5,0,2,benign
2026-05-01T09:33:00,192.168.1.21,10.0.0.18,UDP,520,680,13,6,0,3,benign
2026-05-01T09:36:00,192.168.1.22,10.0.0.19,TCP,460,730,12,5,0,2,benign
2026-05-01T09:39:00,192.168.1.23,10.0.0.20,TCP,440,760,11,5,0,2,benign
2026-05-01T09:42:00,192.168.1.24,10.0.0.21,UDP,515,695,13,6,0,3,benign
2026-05-01T09:45:00,192.168.1.25,10.0.0.22,TCP,430,775,11,5,0,2,benign
2026-05-01T09:48:00,192.168.1.26,10.0.0.23,TCP,470,725,12,5,0,2,benign
2026-05-01T09:51:00,192.168.1.27,10.0.0.24,UDP,500,685,13,6,0,3,benign
2026-05-01T09:54:00,192.168.1.28,10.0.0.25,TCP,452,748,11,5,0,2,benign
2026-05-01T09:57:00,192.168.1.29,10.0.0.26,TCP,418,785,10,4,0,2,benign
2026-05-01T10:00:00,192.168.1.40,10.0.0.40,TCP,12000,150,85,40,9,18,attack
2026-05-01T10:03:00,192.168.1.41,10.0.0.41,TCP,8600,220,70,35,7,14,attack
2026-05-01T10:06:00,192.168.1.42,10.0.0.42,UDP,150,14000,90,45,0,25,attack
2026-05-01T10:09:00,192.168.1.43,10.0.0.43,TCP,3000,500,8,2,12,1,attack
