timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received,packets,duration_seconds,failed_logins
2026-05-01T09:00:00,192.168.1.10,10.0.0.5,TCP,420,800,12,5,0
2026-05-01T09:05:00,192.168.1.11,10.0.0.8,TCP,390,760,10,4,0
2026-05-01T09:10:00,192.168.1.15,10.0.0.10,UDP,510,650,13,6,0
2026-05-01T09:15:00,192.168.1.21,10.0.0.7,TCP,445,790,11,5,1
2026-05-01T09:20:00,192.168.1.18,10.0.0.3,TCP,470,720,12,5,0
2026-05-01T09:25:00,192.168.1.25,10.0.0.9,UDP,530,700,14,6,0
2026-05-01T09:30:00,192.168.1.31,10.0.0.11,TCP,410,780,10,4,0
2026-05-01T09:35:00,192.168.1.22,10.0.0.6,TCP,455,745,11,5,0
2026-05-01T09:40:00,192.168.1.19,10.0.0.13,UDP,495,690,13,6,0
2026-05-01T09:45:00,192.168.1.40,10.0.0.14,TCP,12000,150,85,40,9
2026-05-01T09:50:00,192.168.1.42,10.0.0.15,TCP,380,770,10,4,0
2026-05-01T09:55:00,192.168.1.43,10.0.0.16,TCP,405,810,11,5,0
