dur,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,tcprtt,synack,ackdat,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_dst_src_ltm,ct_state_ttl,ct_flw_http_mthd,is_sm_ips_ports,label
0.385124,28,30,4984,3080,31,29,99832.78125,61860.59766,7,7,14.251815,13.261759,0.000653,0.000528,0.000125,4,7,3,3,0,0.0,0,0
0.662747,10,8,564,354,254,252,6132.053223,3742.000977,2,1,73.118778,93.712711,0.053767,0.006747,0.04702,2,1,1,1,1,0.0,0,1
0.030712,52,42,37220,3380,31,29,9508987.0,859598.875,18,8,0.595451,0.736561,0.000659,0.000512,0.000147,1,6,7,4,0,0.0,0,0
1.144942,14,18,1684,10168,31,29,10928.06445,67105.57813,3,5,88.04569,67.320765,0.000601,0.000487,0.000114,1,5,1,2,0,1.0,0,0
0.630866,10,6,1506,268,254,252,17195.41016,2840.539795,2,1,66.975556,100.908797,0.245351,0.126315,0.119036,4,1,1,1,1,0.0,0,1
0.0018,4,4,536,304,31,29,1786666.75,1013333.375,0,0,0.458,0.235,0.0,0.0,0.0,6,3,2,2,0,0.0,0,0
0.01914,38,40,2438,19420,31,29,992267.5,7914316.0,7,13,0.507324,0.477897,0.000627,0.000498,0.000129,7,2,5,1,0,0.0,0,0
0.465149,10,6,950,268,254,252,14704.96582,3852.529053,2,1,48.411667,85.75,0.099433,0.036391,0.063042,5,2,2,5,1,1.0,0,0
0.001014,2,2,130,162,31,29,512820.5,639053.25,0,0,0.006,0.008,0.0,0.0,0.0,1,3,5,1,0,0.0,0,0
0.072105,22,24,1920,4312,31,29,203370.0938,458553.5,6,6,3.416762,3.087913,0.001203,0.001073,0.00013,10,3,3,1,0,0.0,0,0
1.599781,14,12,756,682,254,252,3510.480469,3130.428467,4,4,120.511075,133.145734,0.270654,0.135172,0.135482,1,1,1,1,1,0.0,0,1
0.411648,102,100,14616,17134,31,29,281269.4375,329660.2813,22,32,4.075723,4.151636,0.000649,0.000509,0.00014,1,3,5,1,0,0.0,0,0
0.011913,36,38,2334,16528,31,29,1524385.125,10807689.0,7,12,0.331429,0.304838,0.000781,0.000623,0.000158,10,7,11,7,0,0.0,0,0
1.086095,14,18,1684,10168,31,29,11520.1709,70741.50781,3,5,83.517921,63.857765,0.000642,0.000509,0.000133,25,14,24,4,0,6.0,0,0
0.187452,20,8,18080,354,254,252,733030.3125,13230.05371,7,1,9.300895,25.194715,0.017959,0.011081,0.006878,1,1,1,1,1,1.0,0,1
1.004773,12,18,1580,10168,31,29,11536.93359,76467.02344,3,5,91.311635,59.072292,0.000668,0.00054,0.000128,2,7,1,1,0,1.0,0,0
0.524776,16,18,1540,1644,31,29,22013.20313,23674.86328,4,4,34.962465,30.840883,0.000609,0.000468,0.000141,16,6,10,5,0,0.0,0,0
3e-06,2,0,1064,0,254,0,1418666624.0,0.0,0,0,0.003,0.0,0.0,0.0,0.0,2,1,1,1,2,0.0,0,1
0.368597,28,30,4200,3080,31,29,87900.875,64634.27344,7,7,13.638518,12.691621,0.000676,0.000536,0.00014,4,5,4,4,0,0.0,0,0
0.137893,32,24,3728,5474,31,29,209553.7813,304351.9063,7,7,4.448161,5.967174,0.000643,0.000509,0.000134,1,4,3,1,0,0.0,0,0
0.005343,12,12,1064,2260,31,29,1461351.375,3102377.0,4,4,0.453182,0.434545,0.000703,0.000553,0.00015,10,5,4,1,0,0.0,0,0
4e-06,2,0,200,0,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0.0,23,8,8,8,2,0.0,0,1
2e-06,2,0,944,0,254,0,1888000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0.0,2,1,1,1,2,0.0,0,1
0.596443,8,12,424,8824,31,29,4976.166992,108496.5391,1,4,85.160286,54.176365,0.000644,0.000499,0.000145,2,5,4,2,0,0.0,0,0
1.1e-05,2,0,180,0,254,0,65454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,8,2,2,2,2,0.0,0,1
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0.0,5,5,5,5,2,0.0,0,1
0.308246,16,18,1540,1644,31,29,37476.5625,40305.47266,4,4,20.525467,18.102354,0.000629,0.000505,0.000124,10,5,7,2,0,0.0,0,0
1.711972,32,114,1608,129668,62,252,7280.492676,600622.0,6,55,55.224902,14.911318,0.058857,0.026365,0.032492,2,1,1,1,1,0.0,0,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,12,4,5,4,2,0.0,0,1
7e-06,2,0,114,0,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0.0,14,7,7,7,2,0.0,0,1
0.305556,12,10,3236,3734,254,252,77681.34375,87996.96094,3,3,27.777819,36.22075,0.027442,0.015069,0.012373,1,1,1,1,1,1.0,0,1
3.7e-05,2,0,168,0,254,0,18162162.0,0.0,0,0,0.037,0.0,0.0,0.0,0.0,2,1,1,1,2,0.0,0,1
5e-06,2,0,114,0,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0.0,3,3,4,3,2,0.0,0,1
0.035942,8,10,1038,820,31,29,202325.9688,164264.6563,2,2,5.084,3.932667,0.001646,0.000545,0.001101,2,3,10,1,0,1.0,0,0
1.004553,12,18,1580,10168,31,29,11539.46094,76483.77344,3,5,91.291092,59.060295,0.000657,0.000522,0.000135,3,4,3,2,0,1.0,0,0
0.040918,54,56,3302,35742,31,29,633657.5625,6863287.5,7,21,0.765717,0.734145,0.000707,0.000536,0.000171,12,1,4,1,0,0.0,0,0
0.796594,10,8,534,354,254,252,4830.565918,3113.254639,2,1,78.321556,103.414711,0.161229,0.07268,0.088549,6,1,2,1,1,0.0,0,1
0.32532,14,6,8928,320,31,29,203885.4063,6565.842773,4,1,25.024615,64.939199,0.000725,0.000486,0.000239,5,12,12,12,0,0.0,0,0
0.456758,10,8,806,1398,62,252,12715.70508,21438.04883,2,2,50.750889,49.447145,0.113079,0.047197,0.065882,1,13,1,1,1,1.0,0,1
0.023874,62,58,5928,8010,31,29,1954595.0,2637848.75,14,17,0.391377,0.384036,0.002485,0.002227,0.000258,1,2,1,1,0,0.0,0,0
0.004877,18,18,4376,2456,31,29,6779577.5,3805618.0,7,7,0.268118,0.256353,0.000649,0.000512,0.000137,9,4,6,3,0,0.0,0,0
0.014892,44,46,2750,28086,31,29,1443996.75,14760140.0,7,16,0.355415,0.320178,0.000614,0.000481,0.000133,15,6,3,1,0,0.0,0,0
0.011804,34,36,2230,14042,31,29,1467299.25,9252457.0,7,11,0.347848,0.320571,0.000739,0.000582,0.000157,8,3,6,2,0,0.0,0,0
0.593863,10,12,820,8122,62,252,9941.686523,100305.9609,2,4,65.909444,47.385363,0.126386,0.072616,0.05377,1,2,4,1,1,1.0,0,1
6e-06,2,0,1064,0,254,0,709333312.0,0.0,0,0,0.006,0.0,0.0,0.0,0.0,3,1,1,1,2,0.0,0,1
0.749552,10,8,564,354,254,252,5421.905273,3308.643066,2,1,79.757444,100.92443,0.113751,0.043071,0.07068,1,1,1,1,1,0.0,0,1
0.721606,10,8,874,354,254,252,8724.982422,3436.77832,2,1,76.087444,94.03757,0.138093,0.063338,0.074755,1,1,1,1,1,1.0,0,1
0.896506,10,10,756,4214,62,252,6076.925293,33846.95703,2,2,99.495222,88.18711,0.155277,0.102819,0.052458,3,1,1,1,1,1.0,0,1
