dur,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,tcprtt,synack,ackdat,ct_srv_src,ct_dst_ltm,ct_src_ltm,ct_dst_src_ltm,ct_state_ttl,ct_flw_http_mthd,is_sm_ips_ports,label,family,is_attack
1.089761,12,18,1580,10168,31,29,10637.19434,70503.53125,3,5,0.000711,0.0005,0.000211,3,3,6,2,0,1.0,0,0,Benign,0
0.618851,10,6,706,268,254,252,8221.688477,2895.688965,2,1,0.166929,0.085757,0.081172,4,1,4,1,1,0.0,0,1,Fuzzers,1
0.001185,2,2,146,178,31,29,492827.0313,600843.9375,0,0,0.0,0.0,0.0,9,3,2,2,0,0.0,0,0,Benign,0
7e-06,2,0,200,0,254,0,72727272.0,0.0,0,0,0.0,0.0,0.0,8,4,4,4,2,0.0,0,1,Exploits,1
1.123923,14,18,1684,10168,31,29,11132.43555,68360.55469,3,5,0.000679,0.000542,0.000137,1,5,3,1,0,1.0,0,0,Benign,0
1.396192,12,8,994,732,254,252,5225.642578,3672.847412,3,2,0.240777,0.082193,0.158584,2,1,1,1,1,0.0,0,1,Fuzzers,1
0.030838,52,40,37188,3276,31,29,9461833.0,828847.5625,18,8,0.00074,0.000572,0.000168,8,1,3,1,0,0.0,0,0,Benign,0
1.483391,10,12,756,4300,62,252,3672.666016,21259.39844,2,3,0.230693,0.156688,0.074005,1,2,1,1,1,1.0,0,1,Exploits,1
0.001061,2,2,146,178,31,29,550424.125,671065.0,0,0,0.0,0.0,0.0,2,4,4,2,0,0.0,0,0,Benign,0
1.005722,14,18,1684,10168,31,29,12440.81348,76394.86719,3,5,0.000622,0.000489,0.000133,1,2,3,1,0,1.0,0,0,Benign,0
0.004792,4,4,568,320,31,29,711185.3125,400667.7813,0,0,0.0,0.0,0.0,7,4,3,2,0,0.0,0,0,Benign,0
0.230333,4,4,568,304,31,29,14795.96973,7918.969238,0,0,0.0,0.0,0.0,12,3,4,3,0,0.0,0,0,Benign,0
3.126062,52,54,2934,3740,31,29,7365.177246,9394.567383,11,15,0.000673,0.000543,0.00013,4,9,16,9,0,0.0,0,0,Benign,0
0.061934,60,62,3614,45396,31,29,459069.3125,5769238.0,7,24,0.000758,0.00063,0.000128,18,13,23,3,0,0.0,0,0,Benign,0
1.009914,14,18,1684,10168,31,29,12389.17285,76077.76563,3,5,0.000693,0.000542,0.000151,2,6,1,1,0,1.0,0,0,Benign,0
1.1e-05,2,0,200,0,254,0,88888888.0,0.0,0,0,0.0,0.0,0.0,14,1,1,1,2,0.0,0,1,Fuzzers,1
0.00292,6,8,320,1884,31,29,731506.8125,4517808.0,1,2,0.000648,0.00051,0.000138,3,5,9,4,0,0.0,0,0,Benign,0
2.951486,18,20,1666,1724,62,252,4266.325195,4439.797363,6,5,0.061117,0.035157,0.02596,14,11,6,4,1,0.0,0,1,Generic,1
0.001815,4,4,536,304,31,29,1771900.875,1004958.688,0,0,0.0,0.0,0.0,6,4,3,3,0,0.0,0,0,Benign,0
0.039178,16,18,1540,1644,31,29,294859.375,317116.75,4,4,0.001492,0.000464,0.001028,8,7,8,5,0,0.0,0,0,Benign,0
1e-05,2,0,114,0,254,0,45600000.0,0.0,0,0,0.0,0.0,0.0,9,3,3,3,2,0.0,0,1,Generic,1
0.001037,2,2,130,162,31,29,501446.5,624879.5,0,0,0.0,0.0,0.0,3,6,5,2,0,0.0,0,0,Benign,0
59.382812,124,0,33728,0,254,0,4507.162598,0.0,0,0,0.0,0.0,0.0,8,2,3,2,2,0.0,0,1,Fuzzers,1
4e-06,2,0,200,0,254,0,72727272.0,0.0,0,0,0.0,0.0,0.0,14,6,6,6,2,0.0,0,1,Exploits,1
0.005668,22,24,2054,2478,31,29,2767819.5,3352152.5,6,6,0.000741,0.000595,0.000146,16,2,9,2,0,0.0,0,0,Benign,0
0.877454,10,8,2550,354,254,252,20924.17383,2826.359131,2,1,0.202774,0.152564,0.05021,7,1,2,1,1,0.0,0,1,Fuzzers,1
1.061835,14,18,1684,10168,31,29,11783.37402,72357.75781,3,5,0.000905,0.00076,0.000145,1,2,1,1,0,1.0,0,0,Benign,0
0.01787,42,44,2646,26060,31,29,1156351.5,11401455.0,7,15,0.000693,0.000567,0.000126,5,5,3,1,0,0.0,0,0,Benign,0
3e-06,2,0,200,0,254,0,72727272.0,0.0,0,0,0.0,0.0,0.0,15,8,8,8,2,0.0,0,1,Fuzzers,1
0.001049,2,2,130,162,31,29,495710.2188,617731.1875,0,0,0.0,0.0,0.0,1,4,4,1,0,0.0,0,0,Benign,0
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.0,0.0,0.0,17,3,3,3,2,0.0,0,1,Generic,1
0.27278,10,6,2050,268,254,252,54109.53906,6569.396484,2,1,0.060341,0.020587,0.039754,2,1,1,2,1,1.0,0,1,Exploits,1
0.934528,16,50,1048,59873,62,252,8414.943359,502294.2188,2,23,0.065974,0.02787,0.038104,1,1,1,1,1,1.0,0,1,Exploits,1
1.874436,24,42,3252,44158,62,252,13303.20117,183978.5313,6,18,0.053171,0.025373,0.027798,1,1,5,1,1,1.0,0,1,Exploits,1
5e-06,2,0,114,0,254,0,91200000.0,0.0,0,0,0.0,0.0,0.0,6,3,3,3,2,0.0,0,1,Generic,1
1.296949,14,18,1684,10168,31,29,9647.256836,59240.57031,3,5,0.00065,0.000523,0.000127,1,3,3,1,0,1.0,0,0,Benign,0
0.532539,10,10,2116,3718,254,252,28617.62109,50279.88281,2,3,0.150121,0.06185,0.088271,1,1,1,1,1,1.0,0,1,Exploits,1
1e-05,2,0,114,0,254,0,45600000.0,0.0,0,0,0.0,0.0,0.0,13,7,7,7,2,0.0,0,1,Generic,1
8e-06,2,0,114,0,254,0,57000000.0,0.0,0,0,0.0,0.0,0.0,7,4,4,4,2,0.0,0,1,Generic,1
0.947273,14,6,8928,320,31,29,70019.9375,2254.893799,4,1,0.00076,0.000587,0.000173,6,3,1,1,0,0.0,0,0,Benign,0
0.001008,2,2,146,178,31,29,579365.0625,706349.1875,0,0,0.0,0.0,0.0,1,6,3,1,0,0.0,0,0,Benign,0
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.0,0.0,0.0,6,3,3,3,2,0.0,0,1,Generic,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.0,0.0,0.0,18,7,7,7,2,0.0,0,1,Generic,1
9.63313,42,0,2688,0,254,0,2179.14624,0.0,0,0,0.0,0.0,0.0,2,2,2,2,2,0.0,0,1,DoS,1
0.001064,2,2,146,178,31,29,548872.1875,669172.9375,0,0,0.0,0.0,0.0,1,1,2,1,0,0.0,0,0,Benign,0
0.088718,56,58,3390,44134,31,29,300277.2813,3911179.25,7,22,0.000742,0.000583,0.000159,7,8,1,1,0,0.0,0,0,Benign,0
0.012711,36,38,2334,17532,31,29,1428683.875,10744080.0,7,12,0.000773,0.000633,0.00014,6,2,6,2,0,0.0,0,0,Benign,0
0.311688,12,28,930,30738,62,252,21893.6875,760786.4375,2,12,0.025376,0.014064,0.011312,2,1,1,1,1,1.0,0,1,Exploits,1
1.1e-05,2,0,75,0,254,0,27636364.0,0.0,0,0,0.0,0.0,0.0,8,2,2,2,2,0.0,0,1,Fuzzers,1
0.001724,4,4,528,304,31,29,1837587.0,1058004.625,0,0,0.0,0.0,0.0,6,4,3,3,0,0.0,0,0,Benign,0
1.146916,12,18,1580,10168,31,29,10107.10449,66990.08594,3,5,0.000633,0.000498,0.000135,2,16,9,6,0,6.0,0,0,Benign,0
0.255005,10,8,826,2072,62,252,23340.71875,56877.31641,2,2,0.060679,0.012217,0.048462,1,1,1,1,1,1.0,0,1,Exploits,1
0.759443,10,8,508,354,254,252,4824.588867,3265.55127,2,1,0.147583,0.071212,0.076371,3,1,1,3,1,1.0,0,1,Fuzzers,1
1.1e-05,2,0,114,0,254,0,41454544.0,0.0,0,0,0.0,0.0,0.0,14,7,7,7,2,0.0,0,1,Generic,1
0.561858,10,8,800,1178,62,252,10251.7002,14679.86621,2,2,0.126328,0.071548,0.05478,3,19,1,3,1,1.0,0,1,Analysis,1
0.015316,44,46,2750,28874,31,29,1404021.875,14754244.0,7,16,0.000731,0.000592,0.000139,15,4,12,4,0,0.0,0,0,Benign,0
0.0,4,4,184,112,0,0,35.631931,21.689003,0,0,0.0,0.0,0.0,2,2,2,2,0,0.0,0,0,Benign,0
0.467104,8,6,550,268,254,252,3836.404785,8255.121094,1,1,0.0,0.0,0.0,6,2,2,2,1,0.0,0,1,Fuzzers,1
0.433308,10,6,1156,268,254,252,19219.58398,4135.626465,2,1,0.1105,0.035028,0.075472,1,1,2,1,1,1.0,0,1,Exploits,1
1.074764,34,170,1834,217119,62,252,13256.86328,1606618.75,2,83,0.051702,0.006203,0.045499,1,1,1,1,1,1.0,0,1,DoS,1
5e-06,2,0,114,0,254,0,91200000.0,0.0,0,0,0.0,0.0,0.0,10,4,5,4,2,0.0,0,1,Generic,1
